Day,Temp,Month,Year
1,0.7,JANUARY,2019
2,0.6,JANUARY,2019
3,0.6,JANUARY,2019
4,0.5,JANUARY,2019
5,0.5,JANUARY,2019
6,0.5,JANUARY,2019
7,0.6,JANUARY,2019
8,0.7,JANUARY,2019
9,0.5,JANUARY,2019
10,0.8,JANUARY,2019
11,0.7,JANUARY,2019
12,0.8,JANUARY,2019
13,1.0,JANUARY,2019
14,1.0,JANUARY,2019
15,1.1,JANUARY,2019
16,1.2,JANUARY,2019
17,1.2,JANUARY,2019
18,1.2,JANUARY,2019
19,1.3,JANUARY,2019
20,1.2,JANUARY,2019
21,1.3,JANUARY,2019
22,1.2,JANUARY,2019
23,1.1,JANUARY,2019
24,1.1,JANUARY,2019
25,0.9,JANUARY,2019
26,0.9,JANUARY,2019
27,0.8,JANUARY,2019
28,0.7,JANUARY,2019
29,0.5,JANUARY,2019
30,0.4,JANUARY,2019
31,0.4,JANUARY,2019
1,0.4,FEBRUARY,2019
2,0.4,FEBRUARY,2019
3,0.5,FEBRUARY,2019
4,0.5,FEBRUARY,2019
5,0.6,FEBRUARY,2019
6,0.7,FEBRUARY,2019
7,0.7,FEBRUARY,2019
8,0.5,FEBRUARY,2019
9,0.2,FEBRUARY,2019
10,0.3,FEBRUARY,2019
11,0.4,FEBRUARY,2019
12,0.5,FEBRUARY,2019
13,0.4,FEBRUARY,2019
14,0.3,FEBRUARY,2019
15,0.3,FEBRUARY,2019
16,0.3,FEBRUARY,2019
17,0.3,FEBRUARY,2019
18,0.4,FEBRUARY,2019
19,0.4,FEBRUARY,2019
20,0.4,FEBRUARY,2019
21,0.4,FEBRUARY,2019
22,0.4,FEBRUARY,2019
23,0.4,FEBRUARY,2019
24,0.4,FEBRUARY,2019
25,0.2,FEBRUARY,2019
26,0.3,FEBRUARY,2019
27,0.6,FEBRUARY,2019
28,0.5,FEBRUARY,2019
1,0.5,MARCH,2019
2,0.5,MARCH,2019
3,0.6,MARCH,2019
4,0.6,MARCH,2019
5,0.8,MARCH,2019
6,0.7,MARCH,2019
7,0.7,MARCH,2019
8,0.7,MARCH,2019
9,0.7,MARCH,2019
10,0.7,MARCH,2019
11,0.5,MARCH,2019
12,0.5,MARCH,2019
13,0.4,MARCH,2019
14,0.5,MARCH,2019
15,0.4,MARCH,2019
16,0.3,MARCH,2019
17,0.3,MARCH,2019
18,0.2,MARCH,2019
19,0.3,MARCH,2019
20,0.3,MARCH,2019
21,0.3,MARCH,2019
22,0.4,MARCH,2019
23,0.4,MARCH,2019
24,0.6,MARCH,2019
25,1.0,MARCH,2019
26,1.3,MARCH,2019
27,1.7,MARCH,2019
28,2.0,MARCH,2019
29,2.4,MARCH,2019
30,2.5,MARCH,2019
31,2.5,MARCH,2019
1,2.6,APRIL,2019
2,3.0,APRIL,2019
3,3.2,APRIL,2019
4,3.2,APRIL,2019
5,3.3,APRIL,2019
6,3.4,APRIL,2019
7,4.0,APRIL,2019
8,4.4,APRIL,2019
9,5.1,APRIL,2019
10,5.3,APRIL,2019
11,5.6,APRIL,2019
12,5.8,APRIL,2019
13,6.2,APRIL,2019
14,6.5,APRIL,2019
15,6.1,APRIL,2019
16,5.9,APRIL,2019
17,6.1,APRIL,2019
18,7.0,APRIL,2019
19,7.5,APRIL,2019
20,7.5,APRIL,2019
21,7.5,APRIL,2019
22,7.5,APRIL,2019
23,8.1,APRIL,2019
24,8.4,APRIL,2019
25,8.3,APRIL,2019
26,8.7,APRIL,2019
27,8.6,APRIL,2019
28,8.4,APRIL,2019
29,8.4,APRIL,2019
30,8.4,APRIL,2019
1,8.7,MAY,2019
2,7.8,MAY,2019
3,8.6,MAY,2019
4,8.7,MAY,2019
5,8.8,MAY,2019
6,9.5,MAY,2019
7,10.9,MAY,2019
8,11.8,MAY,2019
9,12.3,MAY,2019
10,12.6,MAY,2019
11,12.7,MAY,2019
12,12.7,MAY,2019
13,12.3,MAY,2019
14,11.8,MAY,2019
15,11.6,MAY,2019
16,11.8,MAY,2019
17,12.4,MAY,2019
18,12.8,MAY,2019
19,13.5,MAY,2019
20,14.3,MAY,2019
21,14.8,MAY,2019
22,15.2,MAY,2019
23,15.5,MAY,2019
24,15.6,MAY,2019
25,15.8,MAY,2019
26,16.2,MAY,2019
27,16.6,MAY,2019
28,17.0,MAY,2019
29,16.7,MAY,2019
30,16.5,MAY,2019
31,16.6,MAY,2019
