,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ids,NA,BQMUS_001,BQMUS_001,BQMUS_001,BQMUS_001,BQMUS_002,BQMUS_002,BQMUS_002,BQMUS_002,BQMUS_003,BQMUS_003,BQMUS_003,BQMUS_003,BQMUS_004,BQMUS_004,BQMUS_004,BQMUS_004
1,BQMUS_001,0,159,87,168,324,309,309,300,248,169,250,275,317,301,299,369
2,BQMUS_001,159,0,179,221,196,170,175,177,143,85,165,193,177,153,211,226
3,BQMUS_001,87,179,0,114,333,295,301,310,239,160,228,261,309,293,291,361
4,BQMUS_001,168,221,114,0,267,248,249,273,262,237,206,308,226,210,357,284
5,BQMUS_002,324,196,333,267,0,59,68,59,140,202,203,158,125,141,148,68
6,BQMUS_002,309,170,295,248,59,0,38,37,121,172,190,128,149,155,148,80
7,BQMUS_002,309,175,301,249,68,38,0,47,151,209,223,165,174,190,174,112
8,BQMUS_002,300,177,310,273,59,37,47,0,122,176,194,135,158,172,140,94
9,BQMUS_003,248,143,239,262,140,121,151,122,0,124,148,73,163,145,114,124
10,BQMUS_003,169,85,160,237,202,172,209,176,124,0,113,137,168,159,155,217
11,BQMUS_003,250,165,228,206,203,190,223,194,148,113,0,161,107,91,185,159
12,BQMUS_003,275,193,261,308,158,128,165,135,73,137,161,0,174,172,92,126
13,BQMUS_004,317,177,309,226,125,149,174,158,163,168,107,174,0,38,172,74
14,BQMUS_004,301,153,293,210,141,155,190,172,145,159,91,172,38,0,186,88
15,BQMUS_004,299,211,291,357,148,148,174,140,114,155,185,92,172,186,0,98
16,BQMUS_004,369,226,361,284,68,80,112,94,124,217,159,126,74,88,98,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,BQMUS_001,BQMUS_002,BQMUS_003,BQMUS_004,,,,,,,
,,,,,,,159,,,,,,,,,,
