Date and Time (UTC),Receiver,Description,Data,Units
10/18/2019 17:24,VR2Tx-482000,Initialization,Fall 2019,
10/18/2019 17:24,VR2Tx-482000,Data Upload,VR2Tx_482000_20200710_1.vrl,
10/18/2019 17:24,VR2Tx-482000,PC Time,2019-10-18 13:24:43 UTC-04:00,
10/18/2019 17:24,VR2Tx-482000,69 kHz decoding map,MAP-114,
10/18/2019 17:24,VR2Tx-482000,69 kHz blanking interval,260,ms
10/18/2019 17:41,VR2Tx-482000,Reset,"Watchdog timer reset: ffff,ffff",
10/18/2019 17:41,VR2Tx-482000,Battery,3.6,V
10/18/2019 17:41,VR2Tx-482000,Battery Current,0,mA
10/18/2019 17:41,VR2Tx-482000,Memory Capacity,0.0,%
10/18/2019 18:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 18:00,VR2Tx-482000,Rotation angle,29,°
10/18/2019 18:00,VR2Tx-482000,Minimum noise,180,mV
10/18/2019 18:00,VR2Tx-482000,Maximum noise,500,mV
10/18/2019 18:00,VR2Tx-482000,Average noise,340,mV
10/18/2019 18:00,VR2Tx-482000,Minimum temperature,20.7,°C
10/18/2019 18:00,VR2Tx-482000,Maximum temperature,21.8,°C
10/18/2019 18:00,VR2Tx-482000,Average temperature,21.4,°C
10/18/2019 19:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 19:00,VR2Tx-482000,Rotation angle,21,°
10/18/2019 19:00,VR2Tx-482000,Minimum noise,220,mV
10/18/2019 19:00,VR2Tx-482000,Maximum noise,260,mV
10/18/2019 19:00,VR2Tx-482000,Average noise,240,mV
10/18/2019 19:00,VR2Tx-482000,Minimum temperature,21.5,°C
10/18/2019 19:00,VR2Tx-482000,Maximum temperature,21.7,°C
10/18/2019 19:00,VR2Tx-482000,Average temperature,21.6,°C
10/18/2019 20:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 20:00,VR2Tx-482000,Rotation angle,13,°
10/18/2019 20:00,VR2Tx-482000,Minimum noise,240,mV
10/18/2019 20:00,VR2Tx-482000,Maximum noise,270,mV
10/18/2019 20:00,VR2Tx-482000,Average noise,250,mV
10/18/2019 20:00,VR2Tx-482000,Minimum temperature,21.3,°C
10/18/2019 20:00,VR2Tx-482000,Maximum temperature,21.5,°C
10/18/2019 20:00,VR2Tx-482000,Average temperature,21.4,°C
10/18/2019 21:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 21:00,VR2Tx-482000,Rotation angle,13,°
10/18/2019 21:00,VR2Tx-482000,Minimum noise,160,mV
10/18/2019 21:00,VR2Tx-482000,Maximum noise,270,mV
10/18/2019 21:00,VR2Tx-482000,Average noise,230,mV
10/18/2019 21:00,VR2Tx-482000,Minimum temperature,21.3,°C
10/18/2019 21:00,VR2Tx-482000,Maximum temperature,21.3,°C
10/18/2019 21:00,VR2Tx-482000,Average temperature,21.3,°C
10/18/2019 22:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 22:00,VR2Tx-482000,Rotation angle,21,°
10/18/2019 22:00,VR2Tx-482000,Minimum noise,130,mV
10/18/2019 22:00,VR2Tx-482000,Maximum noise,180,mV
10/18/2019 22:00,VR2Tx-482000,Average noise,150,mV
10/18/2019 22:00,VR2Tx-482000,Minimum temperature,21.1,°C
10/18/2019 22:00,VR2Tx-482000,Maximum temperature,21.2,°C
10/18/2019 22:00,VR2Tx-482000,Average temperature,21.2,°C
10/18/2019 23:00,VR2Tx-482000,Tilt angle,1,°
10/18/2019 23:00,VR2Tx-482000,Rotation angle,13,°
10/18/2019 23:00,VR2Tx-482000,Minimum noise,130,mV
10/18/2019 23:00,VR2Tx-482000,Maximum noise,170,mV
10/18/2019 23:00,VR2Tx-482000,Average noise,150,mV
10/18/2019 23:00,VR2Tx-482000,Minimum temperature,21.0,°C
10/18/2019 23:00,VR2Tx-482000,Maximum temperature,21.1,°C
10/18/2019 23:00,VR2Tx-482000,Average temperature,21.0,°C
10/19/2019 0:00,VR2Tx-482000,Memory Capacity,0.0,%
10/19/2019 0:00,VR2Tx-482000,Pings on 69 kHz,0,
10/19/2019 0:00,VR2Tx-482000,Syncs on 69 kHz,0,
10/19/2019 0:00,VR2Tx-482000,Rejects on 69 kHz,0,
10/19/2019 0:00,VR2Tx-482000,Tilt angle,2,°
10/19/2019 0:00,VR2Tx-482000,Rotation angle,9,°
10/19/2019 0:00,VR2Tx-482000,Minimum voltage,3.53,V
10/19/2019 0:00,VR2Tx-482000,Minimum noise,140,mV
10/19/2019 0:00,VR2Tx-482000,Maximum voltage,3.60,V
10/19/2019 0:00,VR2Tx-482000,Maximum noise,190,mV
10/19/2019 0:00,VR2Tx-482000,Average voltage,3.54,V
10/19/2019 0:00,VR2Tx-482000,Average noise,160,mV
10/19/2019 0:00,VR2Tx-482000,Minimum temperature,20.9,°C
10/19/2019 0:00,VR2Tx-482000,Maximum temperature,21.0,°C
10/19/2019 0:00,VR2Tx-482000,Average temperature,21.0,°C
10/19/2019 1:00,VR2Tx-482000,Tilt angle,1,°
10/19/2019 1:00,VR2Tx-482000,Rotation angle,26,°
10/19/2019 1:00,VR2Tx-482000,Minimum noise,130,mV
10/19/2019 1:00,VR2Tx-482000,Maximum noise,180,mV
10/19/2019 1:00,VR2Tx-482000,Average noise,160,mV
10/19/2019 1:00,VR2Tx-482000,Minimum temperature,20.9,°C
10/19/2019 1:00,VR2Tx-482000,Maximum temperature,20.9,°C
10/19/2019 1:00,VR2Tx-482000,Average temperature,20.9,°C
10/19/2019 2:00,VR2Tx-482000,Tilt angle,1,°
10/19/2019 2:00,VR2Tx-482000,Rotation angle,13,°
10/19/2019 2:00,VR2Tx-482000,Minimum noise,140,mV
10/19/2019 2:00,VR2Tx-482000,Maximum noise,160,mV
10/19/2019 2:00,VR2Tx-482000,Average noise,150,mV
