GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
BBG,,2,1,,,,,,2015-06-01 10:00,Eastern,44.14700,-77.38817,,,,,,VR2W,69,126998,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
MPT,,1,1,,,,,,2015-06-01 10:00,Eastern,44.15067,-77.31517,,,,,,VR2W,69,126974,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
TNN,,1,1,,,,,,2015-06-01 10:00,Eastern,44.10900,-77.49817,,,,,,VR2W,69,126982,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
TNN,,2,1,,,,,,2015-06-01 10:00,Eastern,44.11283,-77.50000,,,,,,VR2W,69,126983,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
BBG,,1,1,,,,,,2015-06-01 10:10,Eastern,44.14467,-77.38767,,,,,,VR2W,69,126990,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
DBG,,1,1,,,,,,2015-06-02 10:00,Eastern,44.17300,-77.08817,,,,,,VR2W,69,126986,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
GNR,,1,1,,,,,,2015-06-02 10:00,Eastern,44.04600,-77.06233,,,,,,VR2W,69,126989,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
GNR,,2,1,,,,,,2015-06-02 10:00,Eastern,44.04817,-77.05950,,,,,,VR2W,69,126964,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
HBY,,3,1,,,,,,2015-06-02 10:00,Eastern,44.13600,-77.00817,,,,,,VR2W,69,126965,,,,,15 months,,,"Hornsby, R",,Yes,ELOMA,No
LRH,,1,1,,,,,,2015-06-02 10:00,Eastern,44.14033,-77.06383,,,,,,VR2W,69,126999,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
TGN,,1,1,,,,,,2015-06-02 10:00,Eastern,44.16433,-77.12367,,,,,,VR2W,69,126987,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
TPT,,1,1,,,,,,2015-06-02 10:00,Eastern,44.08067,-77.08733,,,,,,VR2W,69,126957,,,,,15 months,,,"Hornsby, R",,No,ELOMA,No
