GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
HOW,,2,9,,,,,,06/09/2023 18:00,Eastern,44.26413,-76.35027,10.5,,,,,VR2W,69,482004,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
IAM,,4,13,,,,,,06/05/2023 18:00,Eastern,44.12717,-76.81675,20.9,,,,,VR2Tx,69,129985,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
IAM,,3,14,,,,,,06/05/2023 18:00,Eastern,44.12338,-76.82541,16.1,,,,,VR2Tx,69,486582,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
IAM,,2,14,,,,,,06/05/2023 18:00,Eastern,44.12044,-76.83555,16.6,,,,,VR2Tx,69,126979,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
IAM,,1,14,,,,,,06/05/2023 18:00,Eastern,44.11715,-76.84579,15.6,,,,,VR2Tx,69,486585,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
MAM,,1,14,,,,,,06/05/2023 18:00,Eastern,44.14568,-76.7985,18,,,,,VR2Tx,69,129986,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
MAM,,2,13,,,,,,06/05/2023 18:00,Eastern,44.15208,-76.8018,34.4,,,,,VR2Tx,69,481190,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
MAM,,3,14,,,,,,06/05/2023 18:00,Eastern,44.15867,-76.80427,40,,,,,VR2Tx,69,481255,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
CNW,,2,14,,,,,,06/05/2023 18:00,Eastern,44.06322,-76.96356,28,,,,,VR2W,69,481252,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
CNW,,1,13,,,,,,06/05/2023 18:00,Eastern,44.0583,-76.95671,40,,,,,VR2W,69,126963,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
